1,[질문]강의여석얼마나 열리나요,ㅈㄱㄴ ㅈㄱㄴ ㅈㄴㄱ ㅈㄱㄴ~,2018-03-06 15:19:33
2,[질문]3/20 예비군 훈련,3/20 컴소과 예비군 훈련이 잡혀있는데 당일 강의는 어떻게 되나요?,2018-03-06 15:26:53
3,[질문] 영어 못하면,드랍해야되나요? ㅠㅠ,2018-03-06 16:46:31
4,[질문]중간기말 영어로 내신다고 하셨는데요,그럼 답도 영어로 적어야 하나요?,2018-03-06 23:01:25
6,[질문]대수도 씨쁠인데 ,이거제가할수있는거맞죠..?,2018-03-08 15:22:24
7,[질문] negation,~p가 ㄱp랑 같은 건가요?,2018-03-08 15:31:24
8,[질문] 3월 20일 예비군,3월 20일자 예비군훈련이 있는데 당일 수업처리는 어떻게 되는지 궁금합니다.,2018-03-09 19:03:57
9,[질문] 책을 꼭 사야되나요?,인터넷에 pdf 파일로 7판은 많은데 7판 글로벌에디션은 별로 없네요 책 꼭 사야되나요?,2018-03-10 13:56:58
10,[질문] 과제에서 turh table만 그려서,과제에서 왜 16개가 나오는지를 turh table만 그리면 되는건가요?,2018-03-11 20:44:46
12,[질문] 과제가...,binary operator 4개에 대한 possible 16개를 적는게 맞나요?,2018-03-12 22:34:34
13,[질문] 강의실 공기가..,덥지 않나요...?,2018-03-13 15:16:37
14,[질문] 29페이지 질문이영,함수 증가하는 속도랑 빠르다는거랑은 상관이 앖는건가요?? lgn이 왜 제일 빠른건가요??,2018-03-13 15:32:09
15,[질문]Big O 증명 질문이요,c의 값이 1은 안되는데 2는 왜 되는건가요?,2018-03-13 15:35:15
16,[질문] 빅O 표기법,이 실제 상황이랑 안맞는 경우가 많을거같은데  더 좋은 복잡도 표기법은 없나요?,2018-03-13 15:41:03
17,[질문] 빅오 예제,log나 팩토리얼이나 지수함수일때도 해주세요,2018-03-13 15:53:58
18,[질문] big o 와 omega 관련 질문입니다,빅오와 오메가의 정의와 언제 무엇을 위해 사용하는지가 정확히 정리가 안되는데.. 빅오는 최대 그 함수값만큼 실행될수 있다는 의미고 오메가는 최소 그 함수값만큼 실행되야 한다는 의미인가요??,2018-03-13 16:06:44
19,[질문]big o에서 틀린경우가 omega에서 항상 맞나요?,[질문]big o에서 틀린경우가 omega에서 항상 맞나요?,2018-03-13 16:09:17
20,[질문] 과제제출에 대하여 질문이 있습니다.,과제 제출시에 유캠퍼스 과제 제출란에 올리는 건가요 아니면 직접 제출하나요!!? 그리고 과제 내용에 풀이결과만 표시하나요 아니면 느낀점이나 고찰같은 것도 작성해야 하나요?,2018-03-13 16:31:46
21,[질문] 거짓말 할때,'OR'이나 '혹은' 이라고 하면 거짓말이 참이 되는건가요? 참이 되면 거짓말은 참이니까 참말이고 참말이면 거짓말이 아니니까 거짓말을 안한건가요??,2018-03-13 17:01:01
22,[질문] 오늘배운 내용이 기초난이도인가요?,저한테 너무 디피컬트 합니다. 이산구조가 아니라 이상한구조만 보는것 같이요..,2018-03-13 17:32:56
23,[질문]이산구조 책..,이산구조 책은 7판 글로벌에디션책 내용 말고 6판 내용으로 사용해도 되는건가요?,2018-03-14 15:47:02
24,[질문] 화요일 제출 과제,화요일에 예비군훈련으로 참석하지 못하게 되면 과제 제출은 그 다음 시간에 해도 되는 지 알고 싶습니다.,2018-03-15 15:08:24
25,[질문]질문게시판은 수업시간 외에도 답변을 받을 수 있나요?,질문게시판은 수업시간 외에도 답변을 받을 수 있나요?,2018-03-15 15:23:15
26,[질문]기호에 관해서...,(E)와 UD의 의미를 까먺었는데 혹시 무슨뜻이었는지 알려주실 수 있으신가요?  E가 정의역 내에 x가 존재한다는 뜻이었던가요?,2018-03-15 15:28:39
27,[질문] 보다 쉽고 상냥하며,번역된 이산구조 입문서적 추천좀 해주시겠습니까,2018-03-15 15:31:53
28,[질문] 과제는 항상 자필로 내야하나요?,과제는 항상 자필로 내야하나요?,2018-03-15 15:38:09
29,[질문] 엄마    ,쌍둥이면 엄마가 같은데 어쩌죠...? 사람마다 다르다고 하셨는데 ㅠㅠ 제 동생은 어떻게 되는거죠?,2018-03-15 15:41:55
30,[질문]섬원이 한명 이상일수있는건가요,섬원이한명이상일수있나요,2018-03-15 15:45:03
31,[질문] 퀀티파이어 exercise문제 질문,1번 3번을 잘 모르겟네요,2018-03-15 15:50:29
